Korean,English
너 주말에 안 쉬어서 그런 거 아니야?,Isn't that because you didn't rest on the weekend?
나는 주말에 쉴 때 안 쉴 때 체감이 크더라고?,I feel more rested on the weekends than I do on the weekends?
나 저번 주말에 병원 말고는 집에만 있었는데 ㅜㅜ,"I was at home last weekend, except for going to the hospital ㅜㅜ"
웅 요즘 그거 틀 시간도 없이 그냥 바로 기절했어,"Yeah, I didn't even have time to do that these days, I just passed out"
명상 음악 최고야...,Meditation music is the best...
요즘 그거 덕분에 조금만 자도 훨씬 나은 듯? 전파 중 여기저기 키키,"Thanks to that, I feel much better after sleeping a little bit these days? Kiki here and there while broadcasting"
키키 근데 요즘 우리 생활 패턴을 봤을 땐 명상 음악 없이 눈만 감아도 기절이긴 하지,"Kiki But looking at our lifestyle these days, we can faint even if we just close our eyes without meditation music"
그거 알지 계절 바뀔 때마다 전에 뭐 입고 다녔지 싶은 거,"You know, every time the season changes, you wonder what you were wearing before?"
또 사야 돼!,I have to buy it again!
진짜 공감이야 키키,I really sympathize with you Kiki
난 진주에서 가을 옷 보내 달래야 하는데!,I need to get some fall clothes sent from Jinju!
너무 빨리 추워졌어,It got cold too quickly
키키 진짜 나도 옷 안 산 지 오래돼서 입을 것도 없다,"Kiki, seriously, I haven't bought clothes in a long time so I have nothing to wear."
보통 쇼핑 온라인에서 많이 해 아니면 직접 가서 사?,Do you usually shop online or go in person to buy?
언니 빨리 보내 달라해 키키,"Sister, please send it quickly Kiki"
나는 온라인에서 많이 사는 편이야!,I buy a lot online!
나는 둘 다 좋은데 온라인 비중이 좀 더 큰 것 같아 키키,"I like both, but I think online is a bit more important. Kiki"
키키 얘들아 나는 아직도 바지의 늪에 빠졌어,Kiki guys I'm still stuck in the pants swamp
요즘따라 바지 더 못 고르겠어 ㅠㅠ 힝,I can't even choose pants these days ㅠㅠ sigh
온라인은 이것저것 비교할 수 있고 언제든 살 수 있으니까 더 신중하게 살 수 있는 거 같아,I think I can buy more carefully online because I can compare things and buy whenever I want.
** 언니 바지 왜 ㅜㅜ,"** Sister, why are your pants like this ㅜㅜ"
맞아 온오프라인 장단점이 확실한 듯!,"Yes, it seems that there are clear advantages and disadvantages to both online and offline!"
**이는 무슨 바지 사려고!,**What kind of pants are you going to buy!
나 요새 부츠컷 사고 싶은데 부츠컷마다 핏이 좀 많이 다르더라고?,"I want to buy bootcut jeans these days, but the fit is quite different for each bootcut."
좀 이쁘고 괜찮다 싶으면 나한테 길어 보이고 ㅠㅠ 도와줘,"If you think it's pretty and okay, it looks long to me ㅠㅠ Please help me"
ㅜㅜ 키 작은 사람들을 위한 데서는 맘에 드는 거 발견 못 했어?,ㅜㅜ Haven't you found anything you like for short people?
하긴 부츠컷은 자르면 핏 이상해지니까...,"Well, if you cut the boot cut, the fit will be weird..."
맞아 그런데도 요즘 옷 질도 좋고 이쁜 거 꽤 있던뎅 하하,Yeah but these days the quality of clothes is good and there are quite a few pretty ones haha
나중에 봐 줄게! 구경한 거 보여줘,I'll see you later! Show me what you saw.
웅웅 알았어 아니 뭔가 입은 사람들 후기 보면 엄청 커 보여,"Yeah, okay, but if you look at the reviews of people who wore it, it looks really big"
나는 위에 스판 짝짝 들어가 있고 밑에는 좀 찰랑 느낌 원하는데 잘 없어,"I want something that fits well on top and a little loose on the bottom, but I can't find it."
그치 찾기 어렵긴 해,"Well, it's hard to find"
그 사람들 키랑 바지 길이 잘 봐야 돼 후기랑 ㅜㅜ,You have to look at those people's heights and the length of their pants carefully. ㅜㅜ
어렵네... 키키,It's hard... Kiki
난 요즘 인쇼 둘러보고 있는데 별로 끌리는 옷이 없어,"I'm looking around Inshow these days, but I can't find any clothes that really appeal to me."
긴 옷 사야 하는데!,I need to buy some long clothes!
키키 아니 근데 사실 나는 요새 쇼핑몰도 안 들어가는 듯 귀찮아,"Kiki No, but actually, I don't even go to shopping malls these days, it's annoying"
나도 쇼핑할 시간도 없었다 키키,I didn't even have time to go shopping Kiki
그리고 사고 싶은 게 딱히 없을 때는 안 봐,"And when there's nothing in particular you want to buy, don't look"
키키 난 오늘 아침에 구경하면서 출근했당!,Kiki I went to work this morning looking around!
근데 그냥 시험 끝나면 가서 보고 살래...,But I'll just go and see it after the exam is over...
둘은 보통 오프라인으로 쇼핑하면 어디서 사?,Where do you usually buy them when you shop offline?
난 에이플리랑 브랜디에서 주로 사,I mostly buy from Apple and Brandy
그건 온라인 쇼핑몰 아녀?,Isn't that an online shopping mall?
난 오프라인 여기서는 뭐 잘 몰라 ㅠㅠ,I don't know much about offline here ㅠㅠ
영등포 타임스퀘어 가 봤당!,I went to Yeongdeungpo Times Square!
아니 이번에 새로 생긴 현대백화점인가 거기 가 봤어?,"Hey, have you been to the newly opened Hyundai Department Store?"
앗 오프라인이구나 착각했다 키키,"Oh, I thought you were offline, Kiki"
아니 안 가 봤어,"No, I haven't been there"
더 현대?! 거기 안 가 봄,More modern?! Haven't you been there?
저번에 가려고 했는데 거기서 확진자 나왔다고 해서 바로 타임스퀘어로 바꿨어 경로 키키,"I was going to go there last time, but I changed my route to Times Square right away because they said there was a confirmed case there."
나는 완전 처음에 가 봤는데 진짜 사람 짱 많았어 블루보틀 대기 번호 100번이었어,I went there for the first time and there were so many people. I was number 100 in the Blue Bottle waiting line.
근데 옷은 많더라고 그래서 다시 한번 가볼까 생각 중!,"But there were a lot of clothes, so I'm thinking of going again!"
이민호랑 모모랜드 연우랑 사귄다는 거 봤어? 키키,Did you see that Lee Min Ho and Momoland's Yeonwoo are dating? Kiki
엥 배우 이민호랑? 키키,"Huh, actor Lee Min Ho? Kiki"
둘이 무슨 관련성이 있지? 신기하네,What do the two have to do with each other? That's strange.
헐 그니까 근데 연우라는 사람 방금 봤는데 이뿌당 처음 봐 키키,"Oh my goodness, but I just saw someone named Yeonwoo and she's so pretty. It's my first time seeing her. Kiki"
연우가 연기 한다던데 그러다가 만나지 않았을까,"I heard Yeonwoo was acting, so maybe that's how they met"
근데 이민호 사귄 사람 다 이상형으로 강동원 말했어서 이민호가 강동원 대신 현실에서 사귀는 사람이라고 하던데 짱 웃김 키키,"But everyone Lee Min Ho dated said Kang Dong Won as their ideal type, so Lee Min Ho said that he was dating Kang Dong Won in real life instead of Kang Dong Won, which was hilarious."
아니 키키 강동원 만인의 연인이잖아...,"No, Kiki Kang Dong-won is everyone's lover..."
이민호랑 너무 안 닮았는데 진짜 웃기네,"He doesn't look like Lee Min Ho at all, it's really funny"
키키 이민호 원래 누구랑 사겼는데?,Who did Kiki Lee Min-ho originally date?
그 예시에 수지랑 그 김 비서에 나왔던 여주인공 누구지 걔 사진 봤는데 사귄지 몰랐는데 사겼었나 봄,"In that example, who is the female lead in Sooji and Secretary Kim? I saw her picture and didn't know they were dating, but I guess they were."
아 박민영! 키키 박민영이랑도 사겼었어?,"Ah, Park Min-young! You dated Kiki Park Min-young too?"
다 예쁜 애들만 사겼네... 도둑놈이네 진짜!,He only dates pretty girls... He really is a thief!
키키 어 뭔가 수지랑 사귄다는 건 들어 본 것 같아,"Kiki, I think I heard that you're dating Suzy"
박민영이랑도 사겼구나 멀랐네,"You dated Park Min-young too, you're so far away"
키키 근데 사람들이 박민영이랑 젤 잘 어울렸었다고 그러던데,Kiki: But people say that you look best with Park Min-young.
그리고 기사 보니까 이민호는 연애하면 안 숨기고 당당하게 밖에서 데이트를 즐긴대,"And according to the article, when Lee Min-ho is in a relationship, he doesn't hide it and confidently enjoys dating outside."
심야 영화도 밖에서 같이 보고 어쩌구 하더라,We even watched a late night movie together outside and stuff.
오호 좋네 그 조이랑 크러쉬 사귀는 것도 봤어... 잘 어울려 ㅠㅠ,"Oh, that's nice. I saw that Joy and Crush dating too... They look good together ㅠㅠ"
키키 조이 크러쉬는 봤어 키키,Kiki Joy Crush I saw Kiki
근데 요새는 다 마스크 쓰니까 연예인들 밖에서 놀아도 모를 것 같아,"But these days, everyone wears masks, so I don't think anyone would know if celebrities were playing outside."
아니야 마스크 써도 아는 얼굴이면 다 알아봄,"No, even if you wear a mask, if you know the face, you will recognize it."
나도 맘스터치에 연예인 모자 쓰고 마스크 쓰고 왔는데도 알아봄 키키,"I also went to Mom's Touch wearing a celebrity hat and mask, but they still recognized me Kiki"
맞아 조이 크러쉬 너무 잘 어울리고 귀여워,Yeah Joy Crush suits you so well and it's cute
우와 연예인 누구 왔었는데?! 신기하당,"Wow, which celebrity was there?! That's amazing."
키키 맞아 누구 봤어 본 소감이 어때!,"Kiki, who's right? What do you think?"
김성오 알아? 눈동자 진짜 내가 본 사람 중에 젤 갈색이야,Do you know Kim Sung-oh? His eyes are the brownest I've ever seen.
진짜 신기해 근데 나중에 알고 보니까 우리 동네에서 본 사람 많은가 봐,"It's really amazing, but I found out later that a lot of people in my neighborhood seem to have seen it."
우리 동네 산다는 거 같아,I think we live in the same neighborhood
아 알지 알지! 그 사람 연기 짱 잘하잖아,"Oh, I know, I know! That guy is a great actor."
나도 지나가다 연예인 구경하고 싶다,I also want to see a celebrity while passing by
차은우 실물 궁금해,I'm curious about Cha Eunwoo in person
오 김성오 알아 그 아저씨에 나오는 나쁜놈이잖아 키키,"Oh, I know Kim Seong-oh, he's the bad guy from That Man Kiki"
차은우 실제로 보면 못 헤어나올 듯...,"If you see Cha Eun-woo in person, you won't be able to get away from him..."
키키 진짜? 난 차은우 내가 젤 싫어하는 얼굴이야...,Kiki Really? I hate Cha Eunwoo's face the most...
그리고 실제로는 피부 엄청 안 좋다던데 그 보정 안 된 사진 떠서 봤었음,"And actually, I heard that your skin is really bad, so I saw that unedited photo."
헉 근데 그냥 딱 보면 잘생겼다는 생각 엄청 들지 않아?,"Oh my, but if you just look at him, don't you think he's really handsome?"
이상형 그런 거랑 상관없이 그냥 잘생겼다고 생각함...,"Regardless of my ideal type or anything, I just think he's handsome..."
맞아 이유가 뭐야 그러면 쌈디는? 이목구비 빡,"Right, what is the reason? Then what about Ssamdi? His facial features are sharp"
잘생겼다기 보다 예쁘지... 남자같이 보이지가 않아,He's more pretty than handsome... He doesn't look like a man.
쌈디는 괜찮은데 이마 너무 넓어 키키,"Samdi is okay, but his forehead is too wide Kiki"
**야 좀 깐깐하네 ^^ 키키,"**Hey, you're a bit picky ^^ Kiki"
너 눈 진짜 높겠당,You must be really picky
키키 구니까 쌈디도 실제로 보고 싶다 완전 잘생겼어!,I really want to see Kiki Kunikida and Samdi in person. They're so handsome!
나 어렸을 때 해운대 되게 재밌게 봤었는데 이번 주말에 다시 보고 싶어서 봤는데 재밌더라!,"I really enjoyed Haeundae when I was young, so I wanted to see it again this weekend, and it was fun!"
여운 남아 완전,The aftertaste is completely lingering
해운대 본 것 같은데 재난 영화지?,I think I saw Haeundae. Is it a disaster movie?
키키 해운대 진짜 옛날 영화다,Kiki Haeundae is a really old movie
지금 생각하니까 엘베에 물 가득 가득 차오르는 거 기억나,"Now that I think about it, I remember the elevator filling up with water"
맞아 나 재난 영화 짱 좋아하거든 맞아 엘리베이터,Yeah I love disaster movies. Yeah elevator.
** 언니 기억 짱 잘한다 나는 이민호밖에 기억 안 났었는데,"** Sister, you have a great memory. I only remembered Lee Min Ho."
포스터 보니까 완전 기억난당!,"When I saw the poster, I totally remembered it!"
이민호 아니고 이민기 말하는 거지? 키키,"Are you talking about Lee Min-ki, not Lee Min-ho? Kiki"
키키 나는 주인공은 기억 안 났어 키키,Kiki I don't remember the main character Kiki
그때 당시 물에 가득 가득 그게 너무 충격적이어서 기억에 남았나 봐 키키,"At that time, it was so full of water that it was so shocking that I think it was memorable."
웅 이민기 키키 계속 이민호 얘기하다가 잘못 말함 키키,Yeah Lee Min-ki Kiki kept talking about Lee Min-ho and made a mistake Kiki
나도 너무 어렸을 때라 뜨문뜨문만 기억났었어,I was too young to remember much of it
아니 이민기 진짜 기억에 남았었는데 또 봐도 너무 멋있음,"No, Lee Min-ki was really memorable, and he was still so cool when I saw him again"
이민기 매력있징 키키,Lee Min-ki is so charming Kiki
그 김민희랑 이민기랑 찍은 영화 뭐지?,What movie was that with Kim Min-hee and Lee Min-ki?
제목이 기억 안 난다 그거 완전 현실 연애 내용이었는데,"I don't remember the title, but it was a completely realistic love story."
키키 그거 연애의 온도 이것도 봤어,"Kiki, I saw that too, Temperature of Love"
연기 둘 다 리얼로 잘해 키키,"Kiki, you both act so well and realistically"
근데 그거 결말 뭐였지 기억 안 낭,But I don't remember what the ending was
웅 나 이민기 좋아 하하 맞아 기억 안 나,Yeah I like Lee Min-ki haha right I don't remember
그냥 비 엄청 오는 날 놀이공원에서 둘이 싸우는 거밖에 키키 이것도 다시 봐야겠다,"I need to watch Kiki again, just the two fighting in an amusement park on a rainy day"
결말은 모르겠는데 그냥 둘이 헤어졌다가 다시 사귀면 SNS 파헤치고 그냥 찌질한데 완전 현실 연애라서 사람들 공감 많이 샀어 키키,"I don't know the ending, but if the two break up and start dating again, people will dig up SNS and just be petty, but it's a completely realistic relationship, so people will sympathize with it. Kiki"
보고 나왔을 때 좀 짜증 나는 기분이었던듯 키키,"Kiki, I think you felt a little annoyed when you came out"
뭔가 지하철역 앞에서 우산 쓰고 있었던 장면이 기억나 맞지?,Do you remember the scene where they were using an umbrella in front of the subway station?
근데 나 해피엔딩만 보는데 그거 새드면 다시 안 볼래...,"But I only watch happy endings, so if that's sad, I don't want to watch it again..."
나도 기분 좋은 결말은 아니었던 거 같음,I don't think it was a pleasant ending for me either
난 내용보다 그때 기분이 그냥 기억나,I remember the feeling at that time more than the content
연애 별로 안 하고 싶어지는 기분이었어 키키,I feel like I don't really want to date Kiki
키키 연애 영화 하니까 그거 생각나 최근 거인데 공효진 나온 거!,"When I think of Kiki, I think of that recent romantic comedy movie, the one with Gong Hyo Jin in it!"
가장 보통의 연애! 그거 나 영화관에서 봤다~,The most ordinary love! I saw it at the movie theater~
키키 난 그건 안 봤어! 재밌으면 나중에 봐 볼래 할 거 없을 때,Kiki I haven't seen that! If it's fun I'll watch it later when I have nothing else to do
키키 오 맞아 맞아 그거 킬링타임용이야,"Kiki Oh right, right, that's for killing time"
재밌어 확실히 둘 다 연기 잘하니까,It's fun because they're both really good at acting
우리 엄마가 김래원 짱 좋아해!,My mom really likes Kim Rae-won!
난 김래원 하면 제빵왕 김탁구 생각나 거기 나온 거 맞아,"When I think of Kim Rae-won, I think of Bread, Love and Dreams. He's in it."
김래원이 제빵왕 김탁구에 나왔었나?,"Did Kim Rae-won appear in Bread, Love and Dreams?"
그거 봤는데 그냥 주원밖에 기억 안 낰 키키!,"I saw that, but the only thing I remember is Joo Won, Kiki!"
키키 어맞아 주원이 나쁜 놈이었지 키키,"Kiki, that's right, Joo-won was a bad guy Kiki"
근데 그 드라마 안 봤어,But I haven't seen that drama
키키 헷갈렸어 김래원은 식객이야 둘 다 음식 만드는 거라 헷갈림~,"Kiki, I'm confused. Kim Rae-won is a gourmet. They both cook, so I'm confused~"
웅 다음 바보~ 키키 어쩐지 매칭이 잘 안 되더라,"Yeah, next idiot~ Kiki, somehow the matching doesn't work out well"
키키 바보들 바보들 가장 보통의 연애 오랜만에 봐야징,Kiki idiots idiots the most ordinary love affair it's been a while since I've seen you
너는 야식 자주 먹어?,Do you eat late-night snacks often?
일주일에 한 번씩 먹는 것 같아,I think I eat it once a week
언니는?,What about your sister?
나는 혼자 사니까 야식 먹고 싶은데 못 먹어 ㅜㅜ,I live alone so I want to eat late night snacks but I can't ㅜㅜ
그렇지 아무래도 양이 많더라구 배달은,"Yes, I guess the quantity was large, so delivery"
맞아 그리고 최저 금액 맞춰야 하잖아 ㅜㅜ,Yeah and you have to meet the minimum amount ㅜㅜ
최소 주문 금액이 만원이 넘으면 부담스러워,It's burdensome if the minimum order amount exceeds ten thousand won
그치?,right?
맞아 심지어 우리 주변은 최소 주문 금액 12000원이야.,"That's right, even around us the minimum order amount is 12,000 won."
헐 진짜 비싸다,"Wow, that's really expensive"
그럴 거면 포장이 낫겠어 키키,"If that's the case, it would be better to pack it Kiki"
맞아 그래서 포장을 해야 하는데 알지? 나 집순이인 거!,"Yeah, so I have to pack it, you know? I'm a homebody!"
키키 그러면 집에서 야식 잘 안 먹겠네?,Kiki: Then you don't eat much late-night snacks at home?
잘 못 먹어,I don't eat well
집에 낫또랑 아몬드 브리즈 있어.,I have natto and almond breeze at home.
아 그거 정말 다이어트 식단 같네,"Oh, that really sounds like a diet menu."
소름이야,It's creepy
심지어 아몬드 브리즈는 언 스위트 맛이야.,Even the Almond Breeze tastes unsweet.
도대체 당이 없으면 어떻게 살라는 건지 언스위트 맛없어 ...,How on earth are we supposed to live without sugar? It's so unsweet and tasteless...
나는 안 단 게 더 맛있더라고!,I think it tastes better without it!
아 그래? 그럼 인정이지 키키,Oh really? Then admit it Kiki
너는 자취하면 아파트에서 살고 싶어?,"If you live alone, do you want to live in an apartment?"
나 아파트 나중에 살고 싶어서 청약 저축 하고 있어!,"I want to live in an apartment later, so I'm saving up for a subscription!"
헐 언제 청약 저축 가입했어?,"Wow, when did you sign up for the subscription savings plan?"
"올해 처음 넣었는데 언제쯤 갈진 모르겠네 ,","I just put it in for the first time this year, but I don't know when it will go away."
나도 올해부터 넣고 있는데 너 얼마씩 넣고 있어?,"I've been putting it in since this year, but how much are you putting in?"
한 달에 5만원 정도 넣고 있어,I put in about 50 thousand won a month
언니는?,What about your sister?
니가 나보다 청약 될 확률이 높겠다,You have a higher chance of being accepted than me.
나는 2만 원 헤헤.,"I have 20,000 won hehe."
아하 어디 은행?,"Aha, where is the bank?"
나는 기본 5만원 넣는 게 좋다 하더라고 ㅠㅠ,"I heard it's better to put in the basic 50,000 won ㅠㅠ"
나는 국민 은행으로 넣고 있어,I'm putting it in Kookmin Bank
아니야 내가 알기로는 10만 원이 제일 좋다고 했어!,"No, as far as I know, 100,000 won is the best!"
응 맞아 10만원이 좋긴 한데 은행원이 내 사정으로는 5만원이 베스트래,"Yeah, that's right. 100,000 won would be good, but the banker said 50,000 won would be best for my situation."
그거까지 봐 주는 구나,You even look at that
나는 그냥 앱으로 신청했어.,I just applied through the app.
아 나는 청약에 대해 아무것도 몰라서 은행가서 직접 상담했어,"Oh, I didn't know anything about subscriptions, so I went to the bank and consulted directly."
잘했네 나는 나가기 귀찮아서 앱으로 했어~,"Good job, I didn't feel like going out so I used the app~"
나중에 언니도 아파트 갈려고 하는 거지?,Are you planning to move to an apartment later too?
음 아직까지는 생각이 없는데 아파트로 가지 않을까?,"Well, I haven't thought about it yet, but maybe we should move to an apartment?"
그러게 요즘 아파트 많이 짓긴 하고 있어,"That's right, they're building a lot of apartments these days."
너 배는 타 봤어?,Have you ever been on a boat?
배는 유람선 타봤는데 정말 별로야,"I've been on a cruise ship, but it wasn't that great."
유람선이 별로일 수가 있어?,How can a cruise ship be so bad?
응 파도 때문에 배 멀미가 너무 심하더라고,"Yeah, I got really seasick because of the waves."
아이구 날씨가 안 좋은 날 갔나 보네!,"Oh my, I guess you went on a day with bad weather!"
응 맞아 그때 토할 뻔 했어,"Yeah, that's right, I almost threw up then"
그리고 바다에 빠질까 봐 무서워,And I'm scared of falling into the sea
유람선은 어디 가서 탄 거야?,Where did the cruise ship go?
거제도에서 장사도 섬 갈 때 탔었어,I rode it when I went from Geojedo to Jangsa Island.
그때는 누구랑 같이 간 거야?,Who did you go with that time?
여름 휴가 때 가족이랑 갔었지 키키,"I went with my family during summer vacation, Kiki"
진짜 재미있었겠다,That must have been really fun
날씨가 좋아서 파도만 안 쳤어도!,If only the weather was nice and the waves didn't crash!
그러게 그치만 배는 너무 싫어,"Yeah, but I hate my stomach so much"
언니는 배 탄 적 있어?,"Sister, have you ever been on a boat?"
나는 회사에서 제주도 여행 가서 유람선 타 봤어!,I went on a trip to Jeju Island with my company and rode a cruise ship!
오 어땠어?,"Oh, how was it?"
제주도는 물 맑고 돌고래도 보인다던데,They say that Jeju Island has clear water and you can even see dolphins.
우리는 안에서 와인이랑 안주 먹으면서 놀았어.,"We played inside, drinking wine and eating snacks."
우와 엄청 큰 배였나 봐,"Wow, that must have been a huge ship."
좋았겠다.,That would have been nice.
너는 알바 말고 취업해 본 적 있어?,Have you ever had a job other than a part-time job?
아니 아직까진 없고 그냥 준비만~,"No, not yet, just getting ready~"
그렇구나 알바는 제일 오래했던 곳이 어디야?,"Oh, where did you work the longest?"
지금 있는 곳 롯데몰 버터 키키,Where I am now Lotte Mall Butter Kiki
아 거기 몇 개월 됐어?,"Oh, how many months has it been there?"
아마 2년 반 넘게 다니고 있지 키키,I've been going there for probably over two and a half years now Kiki
그 정도면 너는 이미 직원이 아닐까?,"At that point, aren't you already an employee?"
원래 직원이었지만 퇴사하고 재 입사해서 알바생 키키,"Originally an employee, but quit and re-joined to become a part-time worker Kiki"
근데 거기는 뭐 하는 곳이야?,But what kind of place is that?
생활용품 파는 곳 키키,"Kiki, a place that sells daily necessities"
모던 하우스 같은 곳이야 ~,It's like a modern house~
생활용품이면 가전제품도 같이 팔아?,"If it's daily necessities, do you also sell home appliances?"
응 이번 여름에 선풍기가 아주 대박 쳤어 키키,"Yeah, this summer the fan was a huge hit Kiki"
선풍기는 가격이 어떻게 됐어?,How much did the fan cost?
5-6 만원으로 저렴하고 괜찮았어 키키,It was cheap and good at 50-60 thousand won Kiki
요즘에는 서큘레이터라고 하던데 그거야?,"These days, they call it a circulator. Is that it?"
응 그거 맞아 키키,Yeah that's right Kiki
좋더라고,It was good
요즘에 여성 징병제 얘기가 많던데 들어봤어?,There's been a lot of talk about female conscription these days. Have you heard of it?
응 맞아 군대 가라고 난리들이야 키키,"Yeah, that's right, they're making a fuss about going to the military, Kiki"
너는 가는 거에 대해서 어떻게 생각해?,What do you think about going?
애 안 낳고 싶은데 가면 가산점도 주고 애도 안 낳아도 되려나?,"I don't want to have children, but if I go, will I get extra points and not have to have children?"
애 낳는 문제는 지금도 안 낳고 싶으면 상관 없지~,"As for the issue of having children, it doesn't matter if you don't want to have children now~"
응 근데 만약에 가라고 하면 난 그럴 것 같아,Yeah but if you tell me to go I think I would
나는 솔직히 가도 상관 없어.,I honestly don't mind going.
그치 우리나라는 분단 국가라 국방력이 아주 중요해,"Right, our country is a divided country, so national defense is very important."
근데 이렇게 하는 것보다 지금 직업 군인들 처우를 개선 시키는 게 더 낫지 않을까?,But wouldn't it be better to improve the treatment of professional soldiers now rather than doing it like this?
그치 군인들 대우가 너무 안 좋긴 해,"Yeah, the soldiers are treated really badly."
그 다음에 여성 징병제를 고려 해봐도 좋을 것 같아!,Then I think it might be a good idea to consider a female conscription system!
어차피 군대 안에 여자 화장실 만들려면 시간 오래 걸려~,"Anyway, it takes a long time to build a women's bathroom in the military~"
그러게 키키 아직은 먼 나라 얘기 같다,"That's right, Kiki. It still seems like a story from a far away country."
근데 국민 청원이 5만 넘었대 키키,"But I heard the national petition has over 50,000 signatures Kiki"
그건 다 누가 눌렀을까 ~ 정말 ^^,Who pressed all those buttons ~ Really ^^
일단 나는 아니야 걱정하지 마~,"First of all, it's not me, don't worry~"
"나도 아닌 걸,","Not me either,"
그렇지만 아직까진 여성 징병제는 힘든 것 같아,But it still seems difficult to conscript women
너는 지금 편집 공부한다고 했지?,"You said you were studying editing now, right?"
응 맞아 자기 계발에 도움이 좀 되더라고,"Yeah, that's right. It helped me a bit with my self-development."
구체적으로 어디에 도움이 됐어?,Where specifically did it help?
다양한 미디어를 접할 수 있어서 좋았지 ~,It was nice to be able to access various media ~
그것도 자격증 시험이 있나?,Is there a qualification exam for that too?
자격증은 따로 없는 것 같고 교육 수료 정도 있더라,"I don't think there is a separate certificate, but there is some kind of training required."
그렇구나 지금 그 교육을 받는 중이야?,I see. Are you receiving that training now?
아니 나는 집에서 독학으로 배우고 있어!,"No, I'm learning on my own at home!"
책 사서 배우는 중인 거야?,Are you learning by buying a book?
아니 유튜브 보고 따라하면서 만들어,"No, I made it by following along on YouTube"
그렇게 공부해서 지금 유튜브 편집 알바 하는 거야?,So you studied so hard and now you work part-time as an editor for YouTube?
응 맞아! 아르바이트는 아니고 부업 정도 키키,"Yeah, that's right! It's not a part-time job, it's a side job."
그래도 대단하다,Still great though
나중에 나도 유튜브 생성하면 니가 편집 좀 해 줘!,"Later, when I create a YouTube channel, you help me edit it!"
그래 좋아요와 구독 부탁 드릴게요 만들어 줄게 ^^,"Okay, please like and subscribe, I'll make it ^^"
헐 너무 좋지,"Wow, this is so good"
벌써부터 기대가 된다!,I'm already looking forward to it!
수익은 6:4야 알겠지? ^^,"The profit is 6:4, okay? ^^"
내가 6,I am 6
작은 엄마는 요즘 일 어떻게 하셔?,How is your little mom doing these days?
코로나 때문에 화상 수업으로 하는 중이야,I'm taking online classes because of Corona.
그때 한참 줌으로 뭐 하시더니 그거야?,What were you doing at that time? What was that?
응 괜찮아 질 때 몇 번 대면 수업 했는데 다 바뀌었어,"Yeah, I had a few face-to-face lessons when things got better, and everything changed."
그러면 이제 줌으로 안 해?,So you're not going to do it on Zoom anymore?
아니 완전히 줌으로 바뀐 거지 4단계라서,"No, it's completely changed to zoom, it's level 4"
맞아 그렇지? 수강생은 많아?,Right? Are there a lot of students?
음 한 10명 정도 있는 것 같아 고정으로,"Well, I think there are about 10 people, so it's fixed."
그렇게 수강 하면 몇 시간 정도 하는데?,How many hours does it take to take a class like that?
하루에 아침 저녁 두 시간 있어,"I have two hours a day, morning and evening."
주3일,3 days a week
그러면 나머지 시간은 뭐 하셔?,So what do you do with the rest of your time?
엄마 개인 운동 하시거나 등산 잘 다니셔,"Mom, do some personal exercise or go hiking often."
역시 자기 관리를 잘 하시는 구나,"As expected, you take good care of yourself."
우리 중에서도 제일 몸매가 좋잖아 키키,"Kiki, you have the best body among us all"
맞아 근데 엄마 직업상 어쩔 수 없지...,"Yeah, but I can't help it because of my mom's job..."
그건 그래 그래도 코로나 때문에 피해가 많으시겠어!,"That's true, but I guess there's a lot of damage because of Corona!"
응 작년 대비 소득이 너무 줄어서 걱정이래 ㅠㅠ,"Yeah, I'm worried because my income has decreased so much compared to last year."
너는 남친이랑 기념일 어떤 식으로 챙기는 편이야?,How do you and your boyfriend celebrate anniversaries?
나는 주로 선물 해주는 거 좋아하는데 남친은 그냥 하루 맛있는 거 먹재,"I like giving gifts, but my boyfriend just likes to eat delicious food all day long."
이번 1주년은 어떻게 챙겼어?,How did you celebrate this first anniversary?
그냥 서로 갖고 싶은 거 선물 해줬어,We just gave each other gifts that we wanted.
서로 무슨 선물 해 줬어?,What gifts did you give each other?
나는 해외 직구로 신발 사주고 남친은 목걸이 사줬어 티파니앤코 ^^,I bought shoes through overseas direct purchase and my boyfriend bought a necklace from Tiffany &amp; Co. ^^
헐 거기 진짜 비싼 쥬얼리 브랜드 아니야?,"Wow, isn't that a really expensive jewelry brand?"
"응 근데 그 중 제일 저렴한 거,","Yeah, but the cheapest one among them,"
다른 건 너무 비싸더라,Everything else was too expensive
그래도 그게 어디야 1주년밖에 안 됐었는데!,But that was only the first anniversary!
그러게~ 근데 요즘 다 비싼 선물 많이 하더라고 키키,"Yeah~ But these days, everyone gives a lot of expensive gifts, Kiki"
나는 절대 그렇게 못 해 ㅜㅜ,I could never do that ㅜㅜ
아 진짜? 그치 ㅠㅠ 근데 또 선물 막상 받고 기분은 좋아 ~,Oh really? Right ㅠㅠ But I feel good when I actually receive the gift~
그건 모든 사람들이 다 그렇게 생각하지,That's what everyone thinks
신발은 어디 브랜드?,What brand are your shoes?
뉴발란스 993이라고 되게 인기가 많나 봐,I guess New Balance 993 is really popular
뉴발란스도 그 번호에 따라 가격이 천차만별이더라!,New Balance also has a wide range of prices depending on the number!
응 맞아 내가 고른 건 좀 비쌌어,"Yeah, that's right, the one I chose was a bit expensive"
요즘 부동산 가격이 너무 올라서 걱정이에요.,I'm worried because real estate prices are rising so much these days.
